LocusID;Zygote;Quadrant;Globular;Heart;Torpedo;Bent;Mature
AT2G21470;902.2070802;904.3562867;1078.496063;1089.288163;1058.87055;1005.470623;874.5387856
AT2G21710;1416.525987;1406.908538;1121.792128;1354.170419;1287.435748;1069.114658;955.3813214
AT2G22870;1687.683903;2144.377977;2446.084487;2171.635934;2507.575437;1342.398402;918.7487769
AT2G25660;2249.904521;2457.016438;1954.254377;1445.783764;1582.17376;1389.33396;1781.015019
AT2G25710;4456.516114;4043.024854;3743.931203;5077.14522;6355.612326;4221.393894;1270.062915
AT2G26060;8965.575467;4399.995413;3126.890571;3652.005412;2935.592816;2278.85161;11903.48526
AT2G26350;780.9310152;755.3336315;759.2963527;816.8932875;797.662546;772.3305349;770.6313647
AT2G26830;1059.561315;1182.048752;1161.343684;953.5980286;947.2185747;1068.264749;962.2755001
AT2G26890;3019.830219;2577.388382;1461.886035;1642.188081;1961.227055;2609.219293;3182.210209
AT2G27170;743.9699682;656.8581254;664.8388982;653.929479;606.261981;666.8431949;810.9738844
AT2G28000;55747.6929;55455.90351;55081.61249;58264.59181;39181.14654;36769.51144;24396.2488
AT2G28880;1490.616747;1265.642381;897.9305411;1038.015031;1204.255428;939.7137731;848.4058358
AT2G30200;3701.441245;5417.79298;11933.64992;10870.82645;18642.28936;25049.27969;3547.906022
AT2G30410;1048.329505;1240.600659;1122.588253;941.3003453;941.1565693;975.3962709;820.349537
AT2G30920;786.0634761;825.4635536;865.749396;799.9280421;845.848243;886.6174981;843.1463542
AT2G31060;875.6099695;783.0057707;1060.283604;935.4787067;909.9877778;1102.513726;988.9101144
AT2G31305;1281.690307;1271.811946;1048.490771;1016.237156;926.1922358;965.5239937;1046.189767
AT2G31340;898.2289923;694.5860774;742.9103432;869.639775;693.5725824;675.0924428;675.5637553
AT2G31530;3899.442595;3290.60533;2674.374302;2990.787752;3783.161092;3743.959295;4483.908653
AT2G32590;3022.783929;2858.555864;2088.386175;2579.47793;1680.996529;1833.713805;2162.509484
AT2G33800;894.9021545;864.9650397;1332.644915;1471.040267;1737.41545;1466.04009;1214.651891
AT2G34650;16141.92892;6490.83551;9797.467723;13997.96811;17456.07471;11121.15624;1608.794873
AT2G34780;800.9140893;774.722988;744.3410007;818.9459883;779.1210046;743.5058681;716.1672774
AT2G35650;1017.980507;923.6902422;1032.70635;1100.274198;978.5215873;907.9889549;913.4603255
AT2G36000;1140.125417;1172.953364;1175.307004;1270.561742;1522.453951;1833.508126;1208.660166
AT2G36230;761.5802812;885.5099014;1028.78423;900.2615896;1235.743083;969.6993661;757.3073247
AT2G37560;1059.606879;955.150622;1373.286481;1276.346399;1063.394205;1114.689865;938.0036348
AT2G37920;1061.83165;986.283051;1038.315435;1164.030201;1167.875279;1088.111229;1105.151433
AT2G38020;926.0729228;888.6098779;923.1012581;945.0132867;875.2225585;978.5022127;1068.99498
AT2G38280;1247.598217;1178.60884;1863.815833;1438.035355;1246.511999;1439.44884;1148.358398
AT2G38670;1248.611436;1212.230781;2602.783413;2961.850019;3070.738021;3033.201409;2363.282201
AT2G38770;1335.114856;1404.486438;954.7566505;954.2246119;991.3635503;1006.298148;1200.817355
AT2G39080;762.5834885;842.6065745;854.5578805;823.4606045;830.2864448;741.9883522;744.9282642
AT2G39770;27116.54249;16287.94601;13132.50992;13476.26632;11722.55753;11308.9671;9401.830023
AT2G41350;673.014997;765.7180427;744.3129366;722.1887176;727.5862332;675.8830866;635.9949563
AT2G41500;702.9382456;717.0063042;762.6322222;773.6210751;725.2196482;667.4287575;914.2168341
